format	fm-lint-telemetry-v1
git_head	ef0169cea2a15c020c7bc503ff4752bd7cafa527
content_cksum	866081198-4971
shellcheck_version	0.11.0
analysis_mode	full
partition	1of4
jobs	1
root_count	105
direct_lines	74838
direct_bytes	3584198
source_directives	222
source_boundary_directives	38
source_followed_directives	184
source_target_count	55
shard_1_weight_bytes	1792097
shard_2_weight_bytes	1792101
wall_seconds	573
worker_wall_sum_seconds	572.82
max_worker_wall_seconds	324.80
user_seconds	455.95
system_seconds	16.67
max_worker_rss_kib	6967472
worker_rss_sum_kib	10050880
max_root_rss_kib	6967472
max_root	tests/fm-launch-prompt-signals-live-e2e.test.sh
rss_budget_kib	14680064
shellcheck_processes_start	0
shellcheck_processes_end	1
load_average_start	4.98/5.25/8.25
load_average_end	12.22/10.51/9.61
aggregate_cpu_percent_start	182.50
aggregate_cpu_percent_end	276.00
result_exit	0
