format	fm-lint-telemetry-v1
git_head	ef0169cea2a15c020c7bc503ff4752bd7cafa527
content_cksum	3759130981-4972
shellcheck_version	0.11.0
analysis_mode	full
partition	4of4
jobs	1
root_count	106
direct_lines	76365
direct_bytes	3584452
source_directives	198
source_boundary_directives	33
source_followed_directives	165
source_target_count	47
shard_1_weight_bytes	1792601
shard_2_weight_bytes	1791851
wall_seconds	528
worker_wall_sum_seconds	528.12
max_worker_wall_seconds	334.36
user_seconds	415.75
system_seconds	15.92
max_worker_rss_kib	6599776
worker_rss_sum_kib	9946320
max_root_rss_kib	6599776
max_root	bin/fm-spawn.sh
rss_budget_kib	14680064
shellcheck_processes_start	0
shellcheck_processes_end	2
load_average_start	4.98/5.25/8.25
load_average_end	12.93/10.33/9.50
aggregate_cpu_percent_start	182.50
aggregate_cpu_percent_end	433.80
result_exit	0
