format	fm-lint-telemetry-v1
git_head	ef0169cea2a15c020c7bc503ff4752bd7cafa527
content_cksum	475951688-5089
shellcheck_version	0.11.0
analysis_mode	full
partition	3of4
jobs	1
root_count	106
direct_lines	72341
direct_bytes	3584621
source_directives	191
source_boundary_directives	41
source_followed_directives	150
source_target_count	49
shard_1_weight_bytes	1792199
shard_2_weight_bytes	1792422
wall_seconds	513
worker_wall_sum_seconds	512.94
max_worker_wall_seconds	294.81
user_seconds	402.20
system_seconds	15.72
max_worker_rss_kib	4366512
worker_rss_sum_kib	8499472
max_root_rss_kib	4366512
max_root	bin/fm-send.sh
rss_budget_kib	14680064
shellcheck_processes_start	0
shellcheck_processes_end	3
load_average_start	4.98/5.25/8.25
load_average_end	13.29/10.26/9.46
aggregate_cpu_percent_start	182.50
aggregate_cpu_percent_end	401.30
result_exit	0
